ID	DOCULECT	VALUE	CONCEPT	POS
1228	Ndanda_Denfap	nɔ̂kʃǐ	to lie 	NA
1229	Ndanda_Zua	ndì nɔ́ŋɔ́sé 	to lie 	NA
1230	Goshimjang	nì nɔ́ŋɔ́sé	to lie 	NA
1231	Ndanda_Nyep	tʃǐɛ 	to sit 	NA
1232	Ndanda_Shingou	sɨ́sí 	to sit 	NA
1233	Ndanda_Ca-a	sǐ ʃî 	to sit 	NA
1234	Ndanda_Meno	tsé 	to sit 	NA
1235	Ndanda_Lek	nə̀ sɨ́sə́ 	to sit 	NA
1236	Ndanda_Ngwa	tʃɛ́ʃí 	to sit 	NA
1237	Ndanda_Twefap	tʃíʃí 	to sit 	NA
1238	Ndanda_Denfap	tʃíʃí 	to sit 	NA
1239	Ndanda_Zua	ndì tsɨ́sə́ 	to sit 	NA
1240	Goshimjang	nì sɨ́sə́ 	to sit 	NA
1241	Ndanda_Nyep	ntsǐ tíjɨ́ 	to stand 	NA
1242	Ndanda_Shingou	sítíjɨ́ 	to stand 	NA
1243	Ndanda_Ca-a	sǐ tɨ̌ 	to stand 	NA
1244	Ndanda_Meno	ndúhú tɨ́	to stand 	NA
1245	Ndanda_Lek	nè tʃɨ́sə́	to stand 	NA
1246	Ndanda_Ngwa	tsǐ tsé	to stand 	NA
1247	Ndanda_Twefap	tsí tsɨ̂ 	to stand 	NA
1248	Ndanda_Denfap	tsí tsɨ̂ 	to stand 	NA
1249	Ndanda_Zua	ndì tʃɨ́sə́	to stand 	NA
1250	Goshimjang	nì tʃɨ́sə́  	to stand 	NA
1251	Ndanda_Nyep	fǎk 	to turn 	NA
1252	Ndanda_Shingou	fǎk 	to turn 	NA
1253	Ndanda_Ca-a	fǎksé níjǔ 	to turn 	NA
1254	Ndanda_Meno	fǎk 	to turn 	NA
1255	Ndanda_Lek	nə̀ kə̀ŋ	to turn 	NA
1256	Ndanda_Ngwa	fǎk 	to turn 	NA
1257	Ndanda_Twefap	fǎk ɲíhú 	to turn 	NA
1258	Ndanda_Denfap	fǎk 	to turn 	NA
1259	Ndanda_Zua	ndì kə̀ŋ	to turn 	NA
1260	Goshimjang	nì kə̀ŋ	to turn 	NA
1261	Ndanda_Nyep	ŋgwɔ̌sí 	to fall 	NA
1262	Ndanda_Shingou	tɛ̌p sí 	to fall 	NA
1263	Ndanda_Ca-a	tɛ̌p ʃí	to fall 	NA
1264	Ndanda_Meno	tɛ̌p 	to fall 	NA
1265	Ndanda_Lek	nə̀ tɔ̀psə́ 	to fall 	NA
1266	Ndanda_Ngwa	bvɨʃi 	to fall 	NA
1267	Ndanda_Twefap	mbɨk ʃǐ 	to fall 	NA
1268	Ndanda_Denfap	tǎp ʃí 	to fall 	NA
1269	Ndanda_Zua	ndì tə́psə́	to fall 	NA
1270	Goshimjang	nì tɔ́psə́ 	to fall 	NA
1271	Ndanda_Nyep	hɛ̌ 	to give 	NA
1272	Ndanda_Shingou	hɛ̌ 	to give 	NA
1273	Ndanda_Ca-a	hɛ̌ 	to give 	NA
1274	Ndanda_Meno	hɛ̌ 	to give 	NA
1275	Ndanda_Lek	nə̀ há 	to give 	NA
1276	Ndanda_Ngwa	hɛ̌ 	to give 	NA
1277	Ndanda_Twefap	hɛ̌ 	to give 	NA
1278	Ndanda_Denfap	hɛ̌ 	to give 	NA
1279	Ndanda_Zua	ndì há	to give 	NA
1280	Goshimjang	nì há 	to give 	NA
1281	Ndanda_Nyep	tʃíbɨ́ 	to hold 	NA
1282	Ndanda_Shingou	tʃíbɨ́ 	to hold 	NA
1283	Ndanda_Ca-a	tʃíbɨ́ 	to hold 	NA
1284	Ndanda_Meno	tʃíbɨ́ 	to hold 	NA
1285	Ndanda_Lek	nə̀ ʃìbə̀	to hold 	NA
1286	Ndanda_Ngwa	wǔp 	to hold 	NA
1287	Ndanda_Twefap	tʃǐp 	to hold 	NA
1288	Ndanda_Denfap	tʃǐp 	to hold 	NA
1289	Ndanda_Zua	ndì wɔ̀p 	to hold 	NA
1290	Goshimjang	nì ʃìbì 	to hold 	NA
1291	Ndanda_Nyep	nɔ̂ʔ	to squeeze	NA
1292	Ndanda_Shingou	nɔ̂ʔ	to squeeze	NA
1293	Ndanda_Ca-a	nɔ̂ʔ	to squeeze	NA
1294	Ndanda_Meno	nɔ̂ʔ	to squeeze	NA
1295	Ndanda_Lek	nə̀ sú	to squeeze	NA
1296	Ndanda_Ngwa	ní	to squeeze	NA
1297	Ndanda_Twefap	nɔ̌tsé 	to squeeze	NA
1298	Ndanda_Denfap	núwɔ̂	to squeeze	NA
1299	Ndanda_Zua	ndì nséʔ	to squeeze	NA
1300	Goshimjang	nì mɔ́ 	to squeeze	NA
1301	Ndanda_Nyep	sɛ̌p 	to rub 	NA
1302	Ndanda_Shingou	kwɔ̌p 	to rub 	NA
1303	Ndanda_Ca-a	sɨ̌ʔ	to rub 	NA
1304	Ndanda_Meno	tʃɛ̌p	to rub 	NA
1305	Ndanda_Lek	nè sʉ́ʔsə́	to rub 	NA
1306	Ndanda_Ngwa	sǎp 	to rub 	NA
1307	Ndanda_Twefap	sǎktsé 	to rub 	NA
1308	Ndanda_Denfap	sǎp 	to rub 	NA
1309	Ndanda_Zua	ndì séhé 	to rub 	NA
1310	Goshimjang	nì zíʔsə̀ 	to rub 	NA
1311	Ndanda_Nyep	sǔ 	to wash 	NA
1312	Ndanda_Shingou	sǔ 	to wash	NA
1313	Ndanda_Ca-a	sǔ 	to wash	NA
1314	Ndanda_Meno	sǔ 	to wash	NA
1315	Ndanda_Lek	nə̀ súʔù 	to wash	NA
1316	Ndanda_Ngwa	sǔ 	to wash	NA
1317	Ndanda_Twefap	sǔ 	to wash	NA
1318	Ndanda_Denfap	sǔ 	to wash	NA
1319	Ndanda_Zua	ndì súʔù	to wash	NA
1320	Goshimjang	nì súʔù 	to wash	NA
1321	Ndanda_Nyep	tʃwǐ	to wipe 	NA
1322	Ndanda_Shingou	ʃúwɛ́ 	to wipe 	NA
1323	Ndanda_Ca-a	tʃǔwɛ́ sé 	to wipe 	NA
1324	Ndanda_Meno	tʃíʔí 	to wipe 	NA
1325	Ndanda_Lek	nə̀ ʃɛ́sə́ 	to wipe 	NA
1326	Ndanda_Ngwa	tʃíhí 	to wipe 	NA
1327	Ndanda_Twefap	tʃǐhí 	to wipe 	NA
1328	Ndanda_Denfap	tʃíʔí 	to wipe 	NA
1329	Ndanda_Zua	ndì tʃɛ́sə́ 	to wipe 	NA
1330	Goshimjang	nì ʃɛ́sə́ 	to wipe 	NA
1331	Ndanda_Nyep	fɨ̀k 	to pull 	NA
1332	Ndanda_Shingou	fɨ̀k 	to pull 	NA
1333	Ndanda_Ca-a	fɨ̀k 	to pull 	NA
1334	Ndanda_Meno	fɨ̀k 	to pull 	NA
1335	Ndanda_Lek	nə̀ fə́ŋ 	to pull 	NA
1336	Ndanda_Ngwa	fɨ̀k 	to pull 	NA
1337	Ndanda_Twefap	fɔ̌k 	to pull 	NA
1338	Ndanda_Denfap	fɨ̀k 	to pull 	NA
1339	Ndanda_Zua	ndì fə́ŋ 	to pull 	NA
1340	Goshimjang	nì fə́ŋ	to pull 	NA
1341	Ndanda_Nyep	ntʃɛ̂ 	to push 	NA
1342	Ndanda_Shingou	ntǐʔ	to push 	NA
1343	Ndanda_Ca-a	ntʃɨ̌	to push 	NA
1344	Ndanda_Meno	tʃɨ̌	to push 	NA
1345	Ndanda_Lek	nə̀ ntʃú	to push 	NA
1346	Ndanda_Ngwa	tʃé	to push 	NA
1347	Ndanda_Twefap	ntsé 	to push 	NA
1348	Ndanda_Denfap	tʃɨ̌	to push 	NA
1349	Ndanda_Zua	ndì ntʃú	to push 	NA
1350	Goshimjang	nì ntʃú	to push 	NA
1351	Ndanda_Nyep	ŋgwâʔ	to throw 	NA
1352	Ndanda_Shingou	ŋgwǎʔ	to throw 	NA
1353	Ndanda_Ca-a	ŋgwǎʔ	to throw 	NA
1354	Ndanda_Meno	ŋgwǎʔ	to throw 	NA
1355	Ndanda_Lek	nè wáʔ	to throw 	NA
1356	Ndanda_Ngwa	wǎʔá	to throw 	NA
1357	Ndanda_Twefap	ŋgwǎʔ	to throw 	NA
1358	Ndanda_Denfap	wǎʔ	to throw 	NA
1359	Ndanda_Zua	ndì wáʔ	to throw 	NA
1360	Goshimjang	nì wáʔá	to throw 	NA
1361	Ndanda_Nyep	kpwǐ	to tie 	NA
1362	Ndanda_Shingou	kpwǐt	to tie 	NA
1363	Ndanda_Ca-a	phwǐt 	to tie 	NA
1364	Ndanda_Meno	kpwǐt	to tie 	NA
1365	Ndanda_Lek	nə̀ dzjɛ̀bə̀	to tie 	NA
1366	Ndanda_Ngwa	kwǐ	to tie 	NA
1367	Ndanda_Twefap	ŋkwǐ	to tie 	NA
1368	Ndanda_Denfap	kwî	to tie 	NA
1369	Ndanda_Zua	ndì kwɛ́t 	to tie 	NA
1370	Goshimjang	nì kpɨ́ 	to tie 	NA
1371	Ndanda_Nyep	tɛ̌p 	to sew	NA
1372	Ndanda_Shingou	tɛ̌p 	to sew	NA
1373	Ndanda_Ca-a	tɛ̌p 	to sew	NA
1374	Ndanda_Meno	tɛ̌p 	to sew	NA
1375	Ndanda_Lek	nè tə́p	to sew	NA
1376	Ndanda_Ngwa	tǎp	to sew	NA
1377	Ndanda_Twefap	ntǎp 	to sew	NA
1378	Ndanda_Denfap	tǎp  	to sew	NA
1379	Ndanda_Zua	ndì ntə́b 	to sew	NA
1380	Goshimjang	nì tɔ́b	to sew	NA
1381	Ndanda_Nyep	ʃǎkse	to count 	NA
1382	Ndanda_Shingou	síják 	to count 	NA
1383	Ndanda_Ca-a	ʃǎk	to count 	NA
1384	Ndanda_Meno	síják 	to count 	NA
1385	Ndanda_Lek	nè sáŋ 	to count 	NA
1386	Ndanda_Ngwa	ʃǎk	to count 	NA
1387	Ndanda_Twefap	ʃiǎk	to count 	NA
1388	Ndanda_Denfap	ʃiǎk	to count 	NA
1389	Ndanda_Zua	ndì ʃáŋ	to count 	NA
1390	Goshimjang	nì sáŋ	to count 	NA
1391	Ndanda_Nyep	ŋgɔ̌	to say 	NA
1392	Ndanda_Shingou	ŋgɔ̌	to say 	NA
1393	Ndanda_Ca-a	ŋgɔ̌	to say 	NA
1394	Ndanda_Meno	ŋgɔ̌	to say 	NA
1395	Ndanda_Lek	nə̀ hɔ̀	to say 	NA
1396	Ndanda_Ngwa	wɔ̌p	to say 	NA
1397	Ndanda_Twefap	ŋgǔp	to say 	NA
1398	Ndanda_Denfap	ɣôp 	to say 	NA
1399	Ndanda_Zua	ndì hɔ̀	to say 	NA
1400	Goshimjang	nì hɔ̀	to say 	NA
1401	Ndanda_Nyep	dʒwɔ̌p	to sing 	NA
1402	Ndanda_Shingou	dʒɔ̌p	to sing 	NA
1403	Ndanda_Ca-a	dʒɔ̌p ʃwî	to sing 	NA
1404	Ndanda_Meno	dʒɔ̌p	to sing 	NA
1405	Ndanda_Lek	nə̀ jɔ̀bʃì 	to sing 	NA
1406	Ndanda_Ngwa	jǔp	to sing 	NA
1407	Ndanda_Twefap	ndʒǔp 	to sing 	NA
1408	Ndanda_Denfap	dʒwɔ̌p	to sing 	NA
1409	Ndanda_Zua	ndì ndʒɛ́p 	to sing 	NA
1410	Goshimjang	nì jɔ̀bʃì 	to sing 	NA
1411	Ndanda_Nyep	ŋgɨ́ ŋgíjɛ̂	to play 	NA
1412	Ndanda_Shingou	ŋgɨ́ ŋgxɛ̂ 	to play	NA
1413	Ndanda_Ca-a	ŋgǎ ŋgxɨ̌	to play	NA
1414	Ndanda_Meno	ŋgɨ́ ŋgrǎ 	to play	NA
1415	Ndanda_Lek	nə̀ ŋgxə́ ŋgxá	to play	NA
1416	Ndanda_Ngwa	tǎp 	to play	NA
1417	Ndanda_Twefap	ŋgɨ̌ ŋgxɨ̌	to play	NA
1418	Ndanda_Denfap	ŋgɨ̌ ŋgxɨ̌	to play	NA
1419	Ndanda_Zua	ndì ŋgxə́ ŋgxá	to play	NA
1420	Goshimjang	nì ŋgxə́ ʃɔ̀ 	to play	NA
1421	Ndanda_Nyep	pǎ sé 	to float 	NA
1422	Ndanda_Shingou	pǎ sé 	to float 	NA
1423	Ndanda_Ca-a	pǎ sé 	to float 	NA
1424	Ndanda_Meno	pǎ sé 	to float 	NA
1425	Ndanda_Lek	nə̀ pásə̀ 	to float 	NA
1426	Ndanda_Ngwa	pǎ sé 	to float 	NA
1427	Ndanda_Twefap	pǎ sé 	to float 	NA
1428	Ndanda_Denfap	pǎ sé 	to float 	NA
1429	Ndanda_Zua	ndì básə̀	to float 	NA
1430	Goshimjang	nì básè 	to float 	NA
1431	Ndanda_Nyep	fîʔ	to flow 	NA
1432	Ndanda_Shingou	fî	to flow 	NA
1433	Ndanda_Ca-a	ntɨ̌p 	to flow 	NA
1434	Ndanda_Meno	fî	to flow 	NA
1435	Ndanda_Lek	nə̀ fî	to flow 	NA
1436	Ndanda_Ngwa	ntɨ̌p 	to flow 	NA
1437	Ndanda_Twefap	fî	to flow 	NA
1438	Ndanda_Denfap	fî	to flow 	NA
1439	Ndanda_Zua	ndì fé	to flow 	NA
1440	Goshimjang	nì fé 	to flow 	NA
1441	Ndanda_Nyep	ŋɨ̌p 	to freeze 	NA
1442	Ndanda_Shingou	ŋɨ̌p 	to freeze 	NA
1443	Ndanda_Ca-a	kpwǐt ntǔgɛ̌ 	to freeze 	NA
1444	Ndanda_Meno	ŋɨ̌p 	to freeze 	NA
1445	Ndanda_Lek	siŋ 	to freeze 	NA
1446	Ndanda_Ngwa	kwid 	to freeze 	NA
1447	Ndanda_Twefap	ŋêp	to freeze 	NA
1448	Ndanda_Denfap	ŋêp	to freeze 	NA
1449	Ndanda_Zua	ndì ɲwɛ̀ 	to freeze 	NA
1450	Goshimjang	nì ɲwɛ̀ 	to freeze 	NA
1451	Ndanda_Nyep	kǎʔse	to swell 	NA
1452	Ndanda_Shingou	ŋgûʔ	to swell 	NA
1453	Ndanda_Ca-a	kɔ́ʔɔ	to swell 	NA
1454	Ndanda_Meno	kɔ́ʔɔ	to swell 	NA
1455	Ndanda_Lek	múhǔ	to swell 	NA
1456	Ndanda_Ngwa	hú	to swell 	NA
1457	Ndanda_Twefap	kwɔ̌ʔɔ́	to swell 	NA
1458	Ndanda_Denfap	ŋwî 	to swell 	NA
1459	Ndanda_Zua	ndì màʔfɔ́ 	to swell 	NA
1460	Goshimjang	nì kɔ́ʔɔ́ 	to swell 	NA
1461	Ndanda_Nyep	nɛ̂p 	Sun 	NA
1462	Ndanda_Shingou	nɛ̂p 	Sun 	NA
1463	Ndanda_Ca-a	nɛ̂p 	Sun 	NA
1464	Ndanda_Meno	nɛ̂p 	Sun 	NA
1465	Ndanda_Lek	nàm 	Sun 	NA
1466	Ndanda_Ngwa	něp 	Sun 	NA
1467	Ndanda_Twefap	nɛ̂p 	Sun 	NA
1468	Ndanda_Denfap	nɛ̂p 	Sun 	NA
1469	Ndanda_Zua	ɲèm 	Sun 	NA
1470	Goshimjang	ɲìm 	Sun 	NA
1471	Ndanda_Nyep	mɛ̌ŋǔ 	Moon 	NA
1472	Ndanda_Shingou	mɛ̌ŋǔ 	Moon 	NA
1473	Ndanda_Ca-a	zɨ̌ mɛ̌ŋǔ 	Moon 	NA
1474	Ndanda_Meno	mǎmǔ 	Moon 	NA
1475	Ndanda_Lek	màŋwɔ́	Moon 	NA
1476	Ndanda_Ngwa	mɨ̌ ŋǔ	Moon 	NA
1477	Ndanda_Twefap	mǎmɨ̌k 	Moon 	NA
1478	Ndanda_Denfap	mɛ̌ŋúɔ́ 	Moon 	NA
1479	Ndanda_Zua	màŋwɔ́	Moon 	NA
1480	Goshimjang	màŋwɔ́	Moon 	NA
1481	Ndanda_Nyep	sâk	Star 	NA
1482	Ndanda_Shingou	sâk	Star 	NA
1483	Ndanda_Ca-a	sǎn mɛ̌ŋu	Star 	NA
1484	Ndanda_Meno	sâk	Star 	NA
1485	Ndanda_Lek	sàmáŋwɔ́ 	Star 	NA
1486	Ndanda_Ngwa	sâk	Star 	NA
1487	Ndanda_Twefap	sâk	Star 	NA
1488	Ndanda_Denfap	sâk	Star 	NA
1489	Ndanda_Zua	sàmáŋwɔ́ 	Star 	NA
1490	Goshimjang	sàmáŋwɔ́ 	Star 	NA
1491	Ndanda_Nyep	ʃê	Water 	NA
1492	Ndanda_Shingou	nsé	Water 	NA
1493	Ndanda_Ca-a	nsé	Water 	NA
1494	Ndanda_Meno	nsé	Water 	NA
1495	Ndanda_Lek	nsə̀	Water 	NA
1496	Ndanda_Ngwa	nʃê 	Water 	NA
1497	Ndanda_Twefap	nʃê 	Water 	NA
1498	Ndanda_Denfap	nʃê 	Water 	NA
1499	Ndanda_Zua	ntsə̀	Water 	NA
1500	Goshimjang	nsə̀ 	Water 	NA
1501	Ndanda_Nyep	̀̀mbɛ̂k 	Rain 	NA
1502	Ndanda_Shingou	̀̀mbɛ̂k 	Rain 	NA
1503	Ndanda_Ca-a	̀̀mbɨ̌k 	Rain 	NA
1504	Ndanda_Meno	̀̀mbɛ̂k 	Rain 	NA
1505	Ndanda_Lek	̀̀mbə̀k 	Rain 	NA
1506	Ndanda_Ngwa	mbɨ̌k 	Rain 	NA
1507	Ndanda_Twefap	mbɔ̌k 	Rain 	NA
1508	Ndanda_Denfap	mbɔ̌k 	Rain 	NA
1509	Ndanda_Zua	̀mbə̀ŋ 	Rain 	NA
1510	Goshimjang	̀mbə̀ŋ 	Rain 	NA
1511	Ndanda_Nyep	tâʔʃə̂	River 	NA
1512	Ndanda_Shingou	kǔ nsé 	River 	NA
1513	Ndanda_Ca-a	nsé	River 	NA
1514	Ndanda_Meno	kǔ nsé 	River 	NA
1515	Ndanda_Lek	nsə̀ 	River 	NA
1516	Ndanda_Ngwa	kǔp 	River 	NA
1517	Ndanda_Twefap	kǔp nʃê	River 	NA
1518	Ndanda_Denfap	kǔm nʃê	River 	NA
1519	Ndanda_Zua	ntsə̀ŋ ntsə̀	River 	NA
1520	Goshimjang	nsə̀	River 	NA
1521	Ndanda_Nyep	mɔ̌ʔ	Lake 	NA
1522	Ndanda_Shingou	mɔ̌ʔ	Lake	NA
1523	Ndanda_Ca-a	mɔ̌ʔ	Lake	NA
1524	Ndanda_Meno	mɔ̌ʔ	Lake	NA
1525	Ndanda_Lek	nsə̀ŋgɣʉ́ 	Lake	NA
1526	Ndanda_Ngwa	mɔ̌ʔ	Lake	NA
1527	Ndanda_Twefap	mɔ̌ʔ	Lake	NA
1528	Ndanda_Denfap	́mɔ̌ʔɔ́ 	Lake	NA
1529	Ndanda_Zua	búb ntsə̀ 	Lake	NA
1530	Goshimjang	búb nsə̀ 	Lake	NA
1531	Ndanda_Nyep	lípúwé ʃê	Sea 	NA
1532	Ndanda_Shingou	míjá nsé	Sea 	NA
1533	Ndanda_Ca-a	lípúwé ʃê	Sea 	NA
1534	Ndanda_Meno	nsé ŋgɣɨ̌	Sea 	NA
1535	Ndanda_Lek	nsə̀ ŋgɣí 	Sea 	NA
1536	Ndanda_Ngwa	nsé ŋgɣɨ̌	Sea 	NA
1537	Ndanda_Twefap	nʃê 	Sea 	NA
1538	Ndanda_Denfap	lípúwé ʃê	Sea 	NA
1539	Ndanda_Zua	ntsə̀ ŋgɣʉ́	Sea 	NA
1540	Goshimjang	nsə̀ ŋkxìtàŋ 	Sea 	NA
1541	Ndanda_Nyep	mbwǎk 	Salt 	NA
1542	Ndanda_Shingou	mbwǎk 	Salt 	NA
1543	Ndanda_Ca-a	mbwǎk 	Salt 	NA
1544	Ndanda_Meno	ŋgwǎk 	Salt 	NA
1545	Ndanda_Lek	ŋgwák 	Salt 	NA
1546	Ndanda_Ngwa	mbwǎk 	Salt 	NA
1547	Ndanda_Twefap	mbwǎk 	Salt 	NA
1548	Ndanda_Denfap	ŋgwǎk 	Salt 	NA
1549	Ndanda_Zua	ŋgwáŋ	Salt 	NA
1550	Goshimjang	ŋgwáŋ	Salt 	NA
1551	Ndanda_Nyep	lǔgû	Stone 	NA
1552	Ndanda_Shingou	lǔgû	Stone 	NA
1553	Ndanda_Ca-a	lǔgû	Stone 	NA
1554	Ndanda_Meno	lǔgû	Stone 	NA
1555	Ndanda_Lek	lúŋù	Stone 	NA
1556	Ndanda_Ngwa	lɔ́gɔ̂ 	Stone 	NA
1557	Ndanda_Twefap	lɔ́gɔ̂ 	Stone 	NA
1558	Ndanda_Denfap	lɔ́gɔ̂ 	Stone 	NA
1559	Ndanda_Zua	lùŋù 	Stone 	NA
1560	Goshimjang	lùŋù 	Sand 	NA
1561	Ndanda_Nyep	sâgâsâgâ	Sand	NA
1562	Ndanda_Shingou	tʃǎ nsé 	Sand	NA
1563	Ndanda_Ca-a	sâgâsâgâ	Sand	NA
1564	Ndanda_Meno	sǎn sǎn 	Sand	NA
1565	Ndanda_Lek	sàŋàsàŋà 	Sand	NA
1566	Ndanda_Ngwa	sǎsǎ	Sand	NA
1567	Ndanda_Twefap	sǎgǎ sǎgǎ	Sand	NA
1568	Ndanda_Denfap	sǎgǎ sǎgǎ	Sand	NA
1569	Ndanda_Zua	sàŋàsàŋà 	Sand	NA
1570	Goshimjang	sàŋàsàŋà 	Sand	NA
1571	Ndanda_Nyep	bvɔ̂bɔ̂ 	Dust 	NA
1572	Ndanda_Shingou	bvɔ̂bɔ̂ 	Dust 	NA
1573	Ndanda_Ca-a	bvǎbǎ	Dust 	NA
1574	Ndanda_Meno	bvɔ̂bɔ̂ 	Dust 	NA
1575	Ndanda_Lek	ɱvɔ́bɔ́ 	Dust 	NA
1576	Ndanda_Ngwa	bvábâ	Dust 	NA
1577	Ndanda_Twefap	bvábâ	Dust 	NA
1578	Ndanda_Denfap	bvábâ	Dust 	NA
1579	Ndanda_Zua	ɱvə́bə́ 	Dust 	NA
1580	Goshimjang	ɱvɔ́bí  	Dust 	NA
1581	Ndanda_Nyep	tʃǎʔá 	Earth 	NA
1582	Ndanda_Shingou	tʃǎʔá 	Earth 	NA
1583	Ndanda_Ca-a	tʃǎʔá 	Earth 	NA
1584	Ndanda_Meno	tʃǎʔá 	Earth 	NA
1585	Ndanda_Lek	tʃáʔá 	Earth 	NA
1586	Ndanda_Ngwa	tʃǎʔá 	Earth 	NA
1587	Ndanda_Twefap	tʃǎʔá 	Earth 	NA
1588	Ndanda_Denfap	tʃǎʔá 	Earth 	NA
1589	Ndanda_Zua	tʃáʔá 	Earth 	NA
1590	Goshimjang	tʃáʔá 	Earth 	NA
1591	Ndanda_Nyep	dî	Cloud 	NA
1592	Ndanda_Shingou	díɛ̂	Cloud 	NA
1593	Ndanda_Ca-a	díɛ̂	Cloud 	NA
1594	Ndanda_Meno	díɛ̂	Cloud 	NA
1595	Ndanda_Lek	ʒwɛ̀ 	Cloud 	NA
1596	Ndanda_Ngwa	díɛ̂	Cloud 	NA
1597	Ndanda_Twefap	lúwì 	Cloud 	NA
1598	Ndanda_Denfap	lúwì 	Cloud 	NA
1599	Ndanda_Zua	ʒwɛ̀ 	Cloud 	NA
1600	Goshimjang	ʒwɛ̀ 	Cloud 	NA
1601	Ndanda_Nyep	dî	fog 	NA
1602	Ndanda_Shingou	míjá díɛ́ 	fog 	NA
1603	Ndanda_Ca-a	diɛ́ diɛ́ 	fog 	NA
